cidade,data_hora_texto,temperatura_celsius,humidade_percentagem,tempo_condicao_principal,tempo_descricao,vento_velocidade_mps,pressao_hpa,precipitacao_probabilidade,data_hora_utc
Seoul,2025-06-16 15:00:00,21.73,95,Rain,chuva fraca,3.13,1000,0.86,2025-06-16T15:00:00Z
Seoul,2025-06-16 18:00:00,21.23,91,Rain,chuva fraca,3.37,1001,1,2025-06-16T18:00:00Z
Seoul,2025-06-16 21:00:00,21.95,91,Rain,chuva fraca,2.76,1003,0.2,2025-06-16T21:00:00Z
Seoul,2025-06-17 00:00:00,24.29,83,Clouds,nublado,3.23,1004,0,2025-06-17T00:00:00Z
Seoul,2025-06-17 03:00:00,25.88,58,Clouds,nublado,3.26,1005,0,2025-06-17T03:00:00Z
Seoul,2025-06-17 06:00:00,29.85,41,Clouds,nublado,3.4,1005,0,2025-06-17T06:00:00Z
Seoul,2025-06-17 09:00:00,26.94,37,Clouds,nublado,2.93,1005,0,2025-06-17T09:00:00Z
Seoul,2025-06-17 12:00:00,23.57,53,Clouds,nublado,1.51,1007,0,2025-06-17T12:00:00Z
Seoul,2025-06-17 15:00:00,21.95,59,Clear,céu limpo,1.13,1008,0,2025-06-17T15:00:00Z
Seoul,2025-06-17 18:00:00,20.69,63,Clear,céu limpo,1.19,1009,0,2025-06-17T18:00:00Z
Seoul,2025-06-17 21:00:00,20.13,66,Clear,céu limpo,1.22,1010,0,2025-06-17T21:00:00Z
Seoul,2025-06-18 00:00:00,24.16,49,Clear,céu limpo,2.3,1011,0,2025-06-18T00:00:00Z
Seoul,2025-06-18 03:00:00,27.77,37,Clear,céu limpo,3.14,1011,0,2025-06-18T03:00:00Z
Seoul,2025-06-18 06:00:00,29.42,31,Clear,céu limpo,3.5,1010,0,2025-06-18T06:00:00Z
Seoul,2025-06-18 09:00:00,27.99,34,Clear,céu limpo,3.73,1009,0,2025-06-18T09:00:00Z
Seoul,2025-06-18 12:00:00,24.54,45,Clouds,céu pouco nublado,1.8,1012,0,2025-06-18T12:00:00Z
Seoul,2025-06-18 15:00:00,23.02,52,Clouds,nuvens quebradas,0.7,1012,0,2025-06-18T15:00:00Z
